target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
99,K03439,4282191,thin,single,0.0763,1,K03439.01,41.7084063,41.7084063,24.3,1,K03439.01,41.7084063,41.7084063,24.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
100,K03460,9664276,thin,single,0.0803,1,K03460.01,62.596544,62.596544,15.5,1,K03460.01,62.596544,62.596544,15.5,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
101,K03468,5213404,thin,single,0.0518,1,K03468.01,20.7057153,20.7057153,13.5,1,K03468.01,20.7057153,20.7057153,13.5,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
102,K03486,8121328,thin,single,0.3149,1,K03486.01,19.0689513,19.0689513,19.1,1,K03486.01,19.0689513,19.0689513,19.1,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
103,K03728,7515679,thin,single,0.0435,1,K03728.01,5.546083089,5.546083089,56.4,1,K03728.01,5.546083089,5.546083089,56.4,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
104,K03943,7679812,thin,single,0.0521,1,K03943.01,38.5763483,38.5763483,76.3,1,K03943.01,38.5763483,38.5763483,76.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
105,K04166,4078311,thin,single,0.1925,1,K04166.01,9.84262076,9.84262076,16.8,1,K04166.01,9.84262076,9.84262076,16.8,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
106,K04226,9491832,thin,single,0.1752,1,K04226.01,49.564693,49.564693,15.0,1,K04226.01,49.564693,49.564693,15.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
107,K04318,9286088,thin,single,0.0504,1,K04318.01,14.8162925,14.8162925,12.5,1,K04318.01,14.8162925,14.8162925,12.5,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
108,K04341,6792908,thin,single,0.0723,1,K04341.01,10.778313,10.778313,12.5,1,K04341.01,10.778313,10.778313,12.5,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
109,K04363,9776794,thin,single,0.0826,1,K04363.01,18.22211768,18.22211768,15.2,1,K04363.01,18.22211768,18.22211768,15.2,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
110,K04377,4945764,thin,single,0.0512,1,K04377.01,19.8751355,19.8751355,15.2,1,K04377.01,19.8751355,19.8751355,15.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
111,K04443,5780855,thin,single,0.0646,1,K04443.01,5.67577999,5.67577999,11.2,1,K04443.01,5.67577999,5.67577999,11.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
